,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,mall_name,mall_country,mall_id,total_mall_area,store_name,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m
0,18,11273,249.52005092297895,180.0,9257.0,9810.25,472952.5,509.62,24568.96,39241,1891810,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3069,14/09/2019,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,886377.0,,104.0,,25034.0,0.0,,,,
1,18,11271,190.00535946711585,120.0,9443.0,4891.25,362107.0,254.09,18810.75,19565,1448428,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_444,17/05/2022,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,20883319.0,,203.0,,33465.0,0.0,,,,
2,17,4319,1325.2168601099572,780.0,5697.0,1981.23,280719.08,70.37,9970.9,25756,3649348,366,Westfield Rosny 2,France,15.0,98221.7,store_1349,18/12/2007,2099-01-01 00:00:00,Services,Imaterial services,Travel Agency,2339819.57,140492.0,72.0,,18000.0,980.0,,,,
3,36,1201,621.422548913631,240.0,7179.0,29753.5,751216.75,1226.95,30978.01,119014,3004867,97,Westfield CentrO,Germany,35.0,139180.0,store_149,16/03/2017,2099-01-01 00:00:00,Food & Beverage Services,Sweet moments,Confectionery,1129538.0,89064.0,107.0,,80035.0,5038.0,8540.0,,,24846.0
4,36,1212,217.8338603746047,120.0,7288.0,6082.5,357884.0,253.44,14911.83,24330,1431536,96,Westfield CentrO,Germany,35.0,139180.0,store_632,16/03/2023,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,340091.0,2181010.0,208.0,0.0,69226.0,0.0,8099.0,,,
5,15,425,492.521903677664,240.0,5451.0,20739.54,487621.15,736.65,17319.88,269614,6339075,366,Westfield Parly 2,France,12.0,108792.5,store_1451,28/11/2012,2099-01-01 00:00:00,Bags & Footwear & Accessories,Footwear,Family footwear,1284842.0,,283.0,-214304.0,14449.0,0.0,,,,392.0
7,22,6726,368.2990499031455,180.0,4491.0,7548.75,1132785.25,265.65,39863.41,90585,13593423,341,Westfield Euralille,France,26.0,58389.7,store_49,12/12/2020,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,920168.0,,86.0,,75029.0,0.0,,,,
8,30,7313,163.93276408577947,120.0,1650.0,14707.64,1018739.45,552.16,38246.19,161784,11206134,293,Westfield Arkadia,Poland,6.0,77325.5,store_866,20/10/2004,2099-01-01 00:00:00,Culture & Media & Technology,"Books, Music & Multimedia",Newspapers,,,52.0,,21350.0,0.0,,,1278.0,
9,24,2224,1512.3955810243988,1020.0,11057.0,12038.69,174248.69,427.6,6189.16,156503,2265233,366,Westfield Glòries,Spain,62.0,35087.8,store_4048,30/04/2021,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Asian - Fast Meal,334248.0,32000.0,85.29,,157578.0,0.0,,,3447.0,
10,10,4674,1423.8450275931975,420.0,1468.0,4465.54,602183.0,158.61,21389.01,58052,7828379,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_789,09/11/2023,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,Wines and spirits,1614794.0,,410.14,,61694.0,0.0,,,,
11,14,5152,2342.979997240743,1500.0,4744.0,351927.46,848108.31,12534.4,30206.6,4575057,11025408,365,Westfield La Part Dieu,France,17.0,141267.4,store_996,01/05/1992,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Hypermarkets,Hypermarkets,509839.0,63512.0,14135.0,,30573.0,1476.0,,,,
12,25,6267,1803.6716077537055,1200.0,11456.0,4294.92,197682.92,152.55,7021.52,55834,2569878,366,Westfield Parquesur,Spain,61.0,91858.1,store_4173,11/07/2016,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Mediterranean and Oriental - Service to table restaurants,,179826.0,289.83,,3503.0,22846.0,,2410.0,,
13,10,4727,548.4549277393784,180.0,1207.0,81754.23,449900.0,2903.84,15980.05,1062805,5848700,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_32,29/03/2017,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,American & Burgers,4121987.0,,397.53,,,0.0,,,,71826.0
14,17,4294,340.3295845765435,180.0,5769.0,24861.82,1602189.09,860.0,55421.64,273480,17624080,318,Westfield Rosny 2,France,15.0,98221.7,store_145,06/09/2017,07/11/2023,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,460479.0,7780.0,0.0,,148869.0,6443.0,,33173.0,,1072.0
15,17,4294,340.3295845765435,180.0,5849.0,24861.82,1602189.09,860.0,55421.64,273480,17624080,318,Westfield Rosny 2,France,15.0,98221.7,store_803,01/03/2024,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",40865.0,55593.0,152.0,,51103.0,8410.0,,68746.0,3281.0,
16,25,6280,538.609873080805,240.0,11556.0,20499.85,746066.69,728.14,26499.64,266498,9698867,366,Westfield Parquesur,Spain,61.0,91858.1,store_193,11/09/2022,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,,,719.11,,1560.0,21244.0,6072.0,,,757.0
17,22,6629,642.039286637374,240.0,4400.0,22708.42,1403751.17,808.61,49985.2,272501,16845014,337,Westfield Euralille,France,26.0,58389.7,store_78,23/08/2011,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",813949.0,,104.0,,6667.0,0.0,,,,
18,36,1095,350.9342796696922,240.0,7051.0,17715.75,892583.0,730.55,36807.55,70863,3570332,97,Westfield CentrO,Germany,35.0,139180.0,store_2390,07/09/2006,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Jeans,25374950.0,,300.0,,38082.0,0.0,,22030.0,,
19,15,571,416.1409860504739,180.0,5435.0,3233.92,354947.31,114.87,12607.42,42041,4614315,366,Westfield Parly 2,France,12.0,108792.5,store_1849,06/05/2011,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,,85407.0,114.0,,31420.0,15453.0,,,,186.0
20,17,4262,487.6166490435451,300.0,5799.0,14962.15,865656.92,531.44,30747.38,194508,11253540,366,Westfield Rosny 2,France,15.0,98221.7,store_1496,12/10/2019,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,1242110.0,,88.0,,20664.0,0.0,,,1864.0,
21,23,5916,2369.1145110957004,2160.0,10176.0,7276.92,344696.08,258.47,12243.3,94600,4481049,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3737,06/09/2017,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Brasseries & Local Kitchen,15741061.17,129305.0,1454.0,,,21666.0,10086.0,95675.0,,
22,36,1088,281.3405238828968,180.0,7218.0,2998.25,207500.0,123.64,8556.7,11993,830000,97,Westfield CentrO,Germany,35.0,139180.0,store_197,06/09/2019,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,2028204.0,59422.0,86.0,,2175.0,0.0,2039.0,1099.0,,56081.0
23,10,4627,537.6338373518594,300.0,1176.0,1791.85,754773.62,63.64,26808.9,23294,9812057,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_601,03/11/2015,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,713061.0,1122000.0,31.6,,11347.0,0.0,,3638.0,,
24,12,2929,187.40641873445367,120.0,4700.0,10565.5,1675128.88,410.31,65053.55,84524,13401031,206,Westfield Forum Des Halles,France,19.0,74438.4,store_1951,19/11/2022,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Ties, Scarfs, Hats, Belts, Gloves ...",2519721.0,106922.0,56.0,,113943.0,0.0,,,,
25,32,11474,1477.002457002457,360.0,12131.0,9248.0,1039015.33,348.98,39208.13,55488,6234092,159,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4242,13/09/2011,2099-01-01 00:00:00,Food & Beverage Services,Gourmet Food Products,Chocolate,4484959.0,472727.0,65.2,,-272.0,0.0,,8095.0,,400.0
26,32,13578,551.5095913261051,240.0,12175.0,10994.33,2454128.5,417.51,93194.75,65966,14724771,158,Westfield Stratford City,United Kingdom,68.0,162896.4,store_4535,08/12/2016,2099-01-01 00:00:00,Jewellery,Jewellery & Watches,Modern Jewellery & Watches,15054456.0,57600.0,244.61,,15293.0,1063.0,,,,
27,18,11307,2722.5634088603315,2760.0,9395.0,4263.25,190558.0,221.47,9899.12,17053,762232,77,Westfield Mall of The Netherlands,Netherlands,54.0,93262.5,store_3311,18/11/2020,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,,772035.0,759.0,,138581.0,4521.0,,97716.0,,1412.0
28,19,7026,467.42206458838905,240.0,687.0,6023.67,382358.67,282.36,17923.06,18071,1147076,64,Westfield Shopping City Süd,Austria,1.0,120306.9,store_440,10/12/2022,28/05/2024,Home,Furniture & Interior Design,Decoration accessories / Design,134531.0,,0.0,,59292.0,0.0,,,,0.0
29,19,7026,467.42206458838905,240.0,687.0,4812.67,467130.67,240.63,23356.53,14438,1401392,60,Westfield Shopping City Süd,Austria,1.0,120306.9,store_440,10/12/2022,28/05/2024,Home,Furniture & Interior Design,Decoration accessories / Design,134531.0,,0.0,,59292.0,0.0,,,,0.0
30,19,7169,479.1539065984242,240.0,530.0,6795.73,294796.64,255.13,11067.45,74753,3242763,293,Westfield Shopping City Süd,Austria,1.0,120306.9,store_217,10/11/2016,2099-01-01 00:00:00,Fashion apparel,Family Fashion,Family Fashion,,2182797.0,391.0,,12438.0,2704.0,,,,
31,26,6541,277.2368722770007,180.0,11161.0,8060.38,471406.08,286.3,16743.93,104785,6128279,366,Westfield La Maquinista,Spain,64.0,73650.1,store_4106,04/04/2013,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,451777.0,258131.0,137.0,-12496.0,107995.0,0.0,297.0,31496.0,-6508.0,
