,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data,mall_name,mall_country,mall_id,total_mall_area,store_name,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,service_charges_r12m,marketing_costs_r12m,real_estate_taxes_r12m,maintenance_works_r12m
2,17,4319,1325.2168601099572,780.0,5697.0,1981.23,280719.08,70.37,9970.9,25756,3649348,366,Westfield Rosny 2,France,15.0,98221.7,store_1349,18/12/2007,2099-01-01 00:00:00,Services,Imaterial services,Travel Agency,2339819.57,140492.0,72.0,18000.0,980.0,20478.5,2278.0
3,36,1201,621.422548913631,240.0,7179.0,29753.5,751216.75,1226.95,30978.01,119014,3004867,97,Westfield CentrO,Germany,35.0,139180.0,store_149,16/03/2017,2099-01-01 00:00:00,Food & Beverage Services,Sweet moments,Confectionery,1129538.0,89064.0,107.0,80035.0,5038.0,10222.0,24846.0
4,36,1212,217.8338603746047,120.0,7288.0,6082.5,357884.0,253.44,14911.83,24330,1431536,96,Westfield CentrO,Germany,35.0,139180.0,store_632,16/03/2023,2099-01-01 00:00:00,Fashion apparel,Men's Fashion,Men's Fashion,340091.0,2181010.0,208.0,69226.0,0.0,10222.0,5966.0
9,24,2224,1512.3955810243988,1020.0,11057.0,12038.69,174248.69,427.6,6189.16,156503,2265233,366,Westfield Glòries,Spain,62.0,35087.8,store_4048,30/04/2021,2099-01-01 00:00:00,Food & Beverage Services,Fast Meal,Asian - Fast Meal,334248.0,32000.0,85.29,157578.0,0.0,13474.0,8032.5
11,14,5152,2342.979997240743,1500.0,4744.0,351927.46,848108.31,12534.4,30206.6,4575057,11025408,365,Westfield La Part Dieu,France,17.0,141267.4,store_996,01/05/1992,2099-01-01 00:00:00,Food Stores & Mass Merchandise,Hypermarkets,Hypermarkets,509839.0,63512.0,14135.0,30573.0,1476.0,12933.0,3610.0
14,17,4294,340.3295845765435,180.0,5769.0,24861.82,1602189.09,860.0,55421.64,273480,17624080,318,Westfield Rosny 2,France,15.0,98221.7,store_145,06/09/2017,07/11/2023,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,460479.0,7780.0,0.0,148869.0,6443.0,33173.0,1072.0
15,17,4294,340.3295845765435,180.0,5849.0,24861.82,1602189.09,860.0,55421.64,273480,17624080,318,Westfield Rosny 2,France,15.0,98221.7,store_803,01/03/2024,2099-01-01 00:00:00,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",40865.0,55593.0,152.0,51103.0,8410.0,68746.0,2278.0
21,23,5916,2369.1145110957004,2160.0,10176.0,7276.92,344696.08,258.47,12243.3,94600,4481049,366,Westfield Täby Centrum,Sweden,57.0,68248.0,store_3737,06/09/2017,2099-01-01 00:00:00,Food & Beverage Services,Service to table restaurants,Brasseries & Local Kitchen,15741061.17,129305.0,1454.0,21337.0,21666.0,95675.0,3310.0
22,36,1088,281.3405238828968,180.0,7218.0,2998.25,207500.0,123.64,8556.7,11993,830000,97,Westfield CentrO,Germany,35.0,139180.0,store_197,06/09/2019,2099-01-01 00:00:00,Fashion apparel,Women's Fashion,Women's Fashion,2028204.0,59422.0,86.0,2175.0,0.0,1099.0,56081.0
23,10,4627,537.6338373518594,300.0,1176.0,1791.85,754773.62,63.64,26808.9,23294,9812057,366,Westfield Chodov,Czech Republic,4.0,91831.5,store_601,03/11/2015,2099-01-01 00:00:00,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,713061.0,1122000.0,31.6,11347.0,0.0,3638.0,3841.0
