,mall_name,mall_country,mall_id,total_mall_area,store_name,store_id,store_year_opened,store_year_closed,store_branch_level_1,store_branch_level_2,store_branch_level_3,store_sales_r12m,store_rent_r12m,store_area,rent_incentive_r12m,service_charges_r12m,marketing_costs_r12m,administration_fees_r12m,real_estate_taxes_r12m,large_scale_works_r12m,maintenance_works_r12m
0,mall_0,Germany Third Parties,0,80523.0,store_0,0,01/01/1999,31/08/2023,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones & Communication & Internet,2482679.0,305241.0,180.0,-44479.0,46663.0,8273.0,5672.0,67519.0,13777.0,5591.0
1,mall_0,Germany Third Parties,0,80523.0,store_1,1,28/10/2010,,Services,Clothing-related services,Clothes repairs,1693316.0,663785.0,379.0,-77185.0,48683.0,3413.0,9256.0,18642.0,2582.0,117195.0
2,mall_0,Germany Third Parties,0,80523.0,store_2,2,28/10/2010,,Culture & Media & Technology,Electronics and household appliances,Monobrand electronics,2954560.0,326322.0,162.0,-54501.0,50096.0,4699.0,9427.0,75421.0,11597.0,15708.0
3,mall_0,Germany Third Parties,0,80523.0,store_3,3,28/10/2010,,Bags & Footwear & Accessories,Accessories,"Mixed: small accessories, bags and fancy jewellery",9706951.0,1189964.0,268.0,-100336.0,8615.0,13197.0,14518.0,47400.0,16564.0,57068.0
4,mall_0,Germany Third Parties,0,80523.0,store_4,4,28/10/2010,,Services,Photo services,Photo Development,4217850.0,145534.0,33.0,-118065.0,4040.0,7638.0,15296.0,74577.0,7302.0,37220.0
5,mall_0,Germany Third Parties,0,80523.0,store_5,5,23/10/1990,,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,1645623.0,503069.0,320.0,-25478.0,96050.0,1252.0,2619.0,2638.0,7195.0,85328.0
6,mall_0,Germany Third Parties,0,80523.0,store_6,6,23/10/1990,,Services,Imaterial services,Medical Services,4819613.0,825681.0,153.0,-118201.0,72361.0,39.0,6492.0,11766.0,6961.0,22304.0
7,mall_0,Germany Third Parties,0,80523.0,store_7,7,05/01/2000,,Food & Beverage Services,Fast Meal,American & Burgers,222364.0,345450.0,329.0,-82211.0,95125.0,13379.0,10195.0,11706.0,9624.0,67718.0
8,mall_0,Germany Third Parties,0,80523.0,store_8,8,01/02/2004,,Entertainment,Entertainment,Cinemas,3283064.0,1346742.0,68.0,-34856.0,72087.0,1632.0,4936.0,65873.0,14282.0,23662.0
9,mall_0,Germany Third Parties,0,80523.0,store_9,9,06/09/2010,31/03/2021,Food & Beverage Services,"Bars, Coffee and Tea breaks",Seated Cafes & Kiosks,8487200.0,925502.0,247.0,-40436.0,92613.0,10303.0,1811.0,40041.0,2792.0,91787.0
10,mall_0,Germany Third Parties,0,80523.0,store_10,10,28/10/2010,,Health & Beauty,Hair & Body,Hairdressers,2992705.0,1249996.0,180.0,-78637.0,75368.0,5429.0,8007.0,14100.0,3364.0,121980.0
11,mall_0,Germany Third Parties,0,80523.0,store_11,11,01/06/2010,31/07/2022,Bags & Footwear & Accessories,Footwear,Family footwear,7913884.0,200592.0,336.0,-121282.0,38318.0,8653.0,11969.0,24452.0,5622.0,113506.0
12,mall_0,Germany Third Parties,0,80523.0,store_12,12,01/09/2009,09/01/2022,Food & Beverage Services,Sweet moments,Patisseries & Bakeries & Donuts,6368389.0,255811.0,356.0,-14614.0,28020.0,3241.0,12999.0,7669.0,16385.0,7804.0
13,mall_0,Germany Third Parties,0,80523.0,store_13,13,16/09/2010,31/07/2022,Health & Beauty,"Perfumery, beautycare",Monobrand mainstream,3259019.0,823661.0,144.0,-106226.0,93894.0,7385.0,11171.0,29670.0,10183.0,49624.0
14,mall_0,Germany Third Parties,0,80523.0,store_14,14,01/09/2000,,Health & Beauty,"Perfumery, beautycare",Multibrand mainstream,5065882.0,818429.0,93.0,-122161.0,5889.0,243.0,5839.0,37676.0,14862.0,67884.0
15,mall_0,Germany Third Parties,0,80523.0,store_15,15,01/02/2008,17/03/2022,Bags & Footwear & Accessories,Footwear,Sport shoes,652721.0,513998.0,496.0,-25700.0,33283.0,7086.0,12471.0,7085.0,9799.0,23362.0
16,mall_0,Germany Third Parties,0,80523.0,store_16,16,15/10/2010,19/12/2021,Food & Beverage Services,Sweet moments,Juices,1531386.0,941261.0,8.0,-101202.0,57470.0,13378.0,6650.0,79457.0,2957.0,56922.0
17,mall_0,Germany Third Parties,0,80523.0,store_17,17,28/10/2010,09/01/2022,Culture & Media & Technology,Computer Products & Electronics games,"Video games, softwares",6927180.0,724299.0,182.0,-19461.0,66926.0,8227.0,12824.0,24651.0,8040.0,115236.0
18,mall_0,Germany Third Parties,0,80523.0,store_18,18,01/06/2000,31/03/2024,Food & Beverage Services,Gourmet Food Products,Bio and vegetarian,4952518.0,1137885.0,354.0,-117085.0,23289.0,391.0,8896.0,83665.0,2544.0,42866.0
19,mall_0,Germany Third Parties,0,80523.0,store_19,19,01/02/2009,,Food & Beverage Services,Service to table restaurants,Asian - Service to table restaurants,4747128.0,463216.0,436.0,-103242.0,77745.0,3261.0,14493.0,82871.0,900.0,92688.0
20,mall_0,Germany Third Parties,0,80523.0,store_20,20,01/04/2010,,Culture & Media & Technology,Mobile Phones & Communication,Mobile Phones accessories,8470516.0,1232343.0,107.0,-106904.0,50283.0,2030.0,4820.0,23271.0,1886.0,94757.0
21,mall_0,Germany Third Parties,0,80523.0,store_21,21,01/07/1996,,Fashion apparel,Family Fashion,Family Fashion,8416184.0,120016.0,336.0,-108345.0,48213.0,5405.0,1301.0,36317.0,6597.0,20934.0
22,mall_0,Germany Third Parties,0,80523.0,store_22,22,01/09/2004,,Health & Beauty,Hair & Body,Hairdressers,7051614.0,1285484.0,205.0,-63566.0,64655.0,2980.0,5471.0,13862.0,1173.0,107653.0
23,mall_0,Germany Third Parties,0,80523.0,store_23,23,28/10/2010,09/02/2021,Fashion apparel,Lingerie & Underwear,Women underwear,6920099.0,560153.0,62.0,-6597.0,35604.0,11471.0,3778.0,67381.0,15289.0,5132.0
24,mall_0,Germany Third Parties,0,80523.0,store_24,24,28/10/2010,,Sport,Sport Clothes & Equipment,Sport clothes & Outdoor,3035947.0,845702.0,349.0,-66678.0,85021.0,204.0,6296.0,32866.0,10171.0,5907.0
25,mall_0,Germany Third Parties,0,80523.0,store_25,25,01/09/2000,15/02/2024,Fashion apparel,Women's Fashion,Women's Fashion,2382914.0,86592.0,447.0,-72547.0,65050.0,12028.0,12410.0,72036.0,15327.0,45208.0
26,mall_0,Germany Third Parties,0,80523.0,store_26,26,01/09/2000,06/03/2022,Fashion apparel,Matern./Childr. Fash.,Children fashion,8458820.0,1013939.0,60.0,-23341.0,81459.0,221.0,9681.0,31450.0,11119.0,60356.0
27,mall_0,Germany Third Parties,0,80523.0,store_27,27,23/10/1986,,Fashion apparel,Family Fashion,Family Fashion,5947005.0,1349641.0,351.0,-19457.0,5940.0,1842.0,14447.0,12849.0,5679.0,108831.0
