,external_mall_id,block_id,average_dwell_time,median_dwell_time,store_id,store_visits_monthly_average,store_window_flow_monthly_average,store_visits_daily_average,store_window_flow_daily_average,store_total_visits,store_total_window_flow,days_with_traffic_data
0,7,4853,515.9794941900205,300.0,5942.0,3322.13,817195.75,118.65,29185.56,26577,6537566,224
1,32,11428,268.0845070422535,120.0,12415.0,11085.4,1662827.8,419.9,62985.9,55427,8314139,132
2,15,511,395.15073028757575,180.0,5572.0,12364.69,636317.77,440.39,22663.37,160741,8272131,365
3,33,6872,350.8607302164216,120.0,2141.0,2331.4,88174.9,80.12,3030.07,23314,881749,291
4,19,7163,429.73800612453215,180.0,663.0,1244.7,296800.7,46.79,11157.92,12447,2968007,266
5,15,550,985.614201826143,540.0,5581.0,7514.08,291322.77,267.62,10375.88,97683,3787196,365
6,33,6866,4000.3782761415832,3060.0,2238.0,4206.33,331730.44,161.09,12704.57,37857,2985574,235
7,36,1155,305.8543046357616,240.0,7315.0,6754.33,410509.67,289.47,17593.27,20263,1231529,70
8,7,4835,1434.8625070149485,840.0,6057.0,19042.25,301942.87,680.08,10783.67,152338,2415543,224
9,15,500,703.7635514018691,420.0,5412.0,3669.0,636244.31,130.68,22660.76,47697,8271176,365
10,26,6541,278.53465346534654,180.0,11161.0,7538.54,452528.23,269.98,16206.25,98001,5882867,363
11,32,11489,408.7991573033708,240.0,12149.0,34453.2,1023306.2,1305.05,38761.6,172266,5116531,132
12,16,1673,302.57829599006226,180.0,5210.0,22721.38,1747627.08,811.48,62415.25,295378,22719152,364
13,25,6165,2481.5146745671695,1920.0,11402.0,2447.69,801576.31,86.94,28471.29,31820,10420492,366
14,36,1154,212.78680164214495,120.0,7294.0,20874.67,725814.67,894.63,31106.34,62624,2177444,70
15,10,4605,272.4203499224855,120.0,1451.0,9891.77,748380.77,351.35,26581.83,128593,9728950,366
16,14,4995,561.2414628239283,120.0,4738.0,29237.77,1066909.08,1038.5,37895.68,380091,13869818,366
17,18,11228,493.11845616916446,420.0,9220.0,14590.33,88624.0,875.42,5317.44,43771,265872,50
18,28,5704,379.0267630161939,240.0,9802.0,23822.46,665514.31,846.15,23638.49,309692,8651686,366
19,30,7382,391.40972448836885,180.0,1729.0,12490.7,639147.4,469.58,24028.1,124907,6391474,266
20,16,1772,326.6182093189362,180.0,5100.0,4150.85,397469.0,147.43,14117.75,53961,5167097,366
21,23,5966,564.6823048652665,420.0,10201.0,52508.62,264662.31,1865.06,9400.57,682612,3440610,366
22,14,5227,1274.5501980260262,660.0,4993.0,10636.54,530966.54,377.8,18859.47,138275,6902565,366
23,15,589,742.0616365568544,300.0,5618.0,2147.69,588444.92,76.49,20958.31,27920,7649784,365
24,13,7589,238.3045237219566,180.0,282.0,10397.67,913068.56,374.32,32870.47,93579,8217617,250
25,17,4371,1183.1100130794944,120.0,5814.0,17748.0,583525.5,678.27,22300.34,106488,3501153,157
26,19,7056,1146.386202343621,960.0,673.0,15363.5,428840.0,577.58,16121.8,153635,4288400,266
27,33,6768,1241.114705150535,840.0,2075.0,1139.57,551652.43,43.59,21101.46,7977,3861567,183
28,17,4394,341.71113660166577,180.0,5717.0,21598.23,770380.46,767.15,27363.24,280777,10014946,366
29,23,6122,251.16837889604736,180.0,10064.0,3385.0,276193.08,120.23,9810.14,44005,3590510,366
30,26,6548,801.2475034567522,540.0,11104.0,2407.69,452300.23,86.23,16198.08,31300,5879903,363
31,33,6961,2017.124537916919,1980.0,1999.0,11549.7,62842.6,396.9,2159.54,115497,628426,291
32,13,7619,2312.835890283589,2280.0,185.0,3481.56,446023.11,125.34,16056.83,31334,4014208,250
33,7,43,401.79349319100504,120.0,5983.0,12065.33,434693.67,556.86,20062.78,36196,1304081,65
34,28,5695,1438.5594237695077,1020.0,9993.0,1491.15,665477.08,52.96,23637.16,19385,8651202,366
35,28,5718,381.42870434503936,180.0,9933.0,16232.85,429852.54,576.58,15267.99,211027,5588083,366
36,16,1803,509.5026300019975,180.0,5180.0,6767.92,377930.54,240.39,13423.76,87983,4913097,366
37,30,7413,614.4671373629527,300.0,1845.0,50724.7,491558.7,1914.14,18549.38,507247,4915587,265
38,10,4498,526.2329820563942,240.0,1208.0,6152.0,424650.0,218.51,15083.2,79976,5520450,366
39,22,6605,479.0013583914257,300.0,4379.0,10840.64,455868.82,379.77,15969.93,119247,5014557,314
40,10,4501,1061.0333544147163,1080.0,1334.0,7743.85,497937.62,275.05,17686.31,100670,6473189,366
41,18,11199,397.17145767816805,300.0,9248.0,10831.33,601825.67,649.88,36109.54,32494,1805477,50
42,19,7228,2148.418497700562,2220.0,445.0,6448.4,196984.9,242.42,7405.45,64484,1969849,266
43,26,6568,881.851917183646,660.0,11191.0,76922.92,944389.54,2754.82,33821.11,999998,12277064,363
44,30,7371,1120.268505079826,660.0,1803.0,1702.9,801755.7,64.02,30141.19,17029,8017557,266
45,17,4360,333.1248822753814,180.0,5699.0,5359.0,451438.08,190.87,16078.62,69667,5868695,365
46,25,6193,478.757276296196,120.0,11537.0,3446.78,868267.67,134.87,33975.69,31021,7814409,230
47,25,6193,478.757276296196,120.0,11537.0,2007.0,626173.0,143.36,44726.64,2007,626173,14
48,14,4957,1643.7752924276626,1320.0,4877.0,49293.46,935656.92,1750.86,33233.72,640815,12163540,366
49,15,444,474.3445935831545,300.0,5464.0,4147.23,549414.23,147.71,19568.18,53914,7142385,365
50,16,1833,1012.109775573674,300.0,5303.0,11698.46,575214.92,415.52,20431.13,152080,7477794,366
51,19,7073,568.9709188483574,300.0,376.0,2770.2,380355.3,104.14,14299.07,27702,3803553,266
52,12,2945,426.533262373603,240.0,4733.0,3457.33,464321.17,143.06,19213.29,20744,2785927,145
53,22,6638,290.9435478470502,120.0,4420.0,7063.91,761684.82,249.85,26940.62,77703,8378533,311
54,32,11664,385.7732807408678,240.0,12365.0,105305.4,598511.2,3988.84,22670.88,526527,2992556,132
